DBN,Number of Students English,Number of Students Math,Number of Students Science,Number of Students Social Studies,Number of Classes English,Number of Classes Math,Number of Classes Science,Number of Classes Social Studies,Average Class Size English,Average Class Size Math,Average Class Size Science,Average Class Size Social Studies,School Pupil-Teacher Ratio
10X244,685.0,722.0,713.0,625.0,27.0,29.0,25.0,25.0,25.37037037037037,24.896551724137932,28.52,25.0,14.699999999999996
10X254,578.0,483.0,453.0,483.0,25.0,21.0,20.0,21.0,23.12,23.0,22.65,23.0,12.5
10X279,666.0,379.0,379.0,379.0,27.0,15.0,15.0,15.0,24.666666666666668,25.266666666666666,25.266666666666666,25.266666666666666,15.099999999999996
10X280,333.0,333.0,333.0,333.0,13.0,13.0,13.0,13.0,25.615384615384617,25.615384615384617,25.615384615384617,25.615384615384617,14.5
10X308,542.0,524.0,276.0,276.0,19.0,19.0,10.0,10.0,28.526315789473685,27.57894736842105,27.6,27.6,13.5
10X315,109.0,102.0,102.0,102.0,7.0,5.0,5.0,5.0,15.571428571428571,20.4,20.4,20.4,15.200000000000001
10X331,812.0,484.0,380.0,396.0,45.0,29.0,19.0,20.0,18.044444444444444,16.689655172413794,20.0,19.8,10.3
10X342,296.0,148.0,148.0,148.0,14.0,7.0,7.0,7.0,21.142857142857142,21.142857142857142,21.142857142857142,21.142857142857142,12.5
10X363,573.0,497.0,497.0,497.0,25.0,21.0,21.0,21.0,22.92,23.666666666666668,23.666666666666668,23.666666666666668,9.400000000000002
10X368,507.0,458.0,458.0,458.0,22.0,19.0,19.0,19.0,23.045454545454547,24.105263157894736,24.105263157894736,24.105263157894736,15.0
10X390,754.0,683.0,506.0,506.0,29.0,26.0,19.0,19.0,26.0,26.26923076923077,26.63157894736842,26.63157894736842,14.5
10X391,1247.0,1048.0,552.0,526.0,62.0,51.0,27.0,26.0,20.112903225806452,20.54901960784314,20.444444444444443,20.23076923076923,11.099999999999996
10X447,551.0,489.0,469.0,469.0,18.0,16.0,15.0,15.0,30.61111111111111,30.5625,31.266666666666666,31.266666666666666,11.400000000000002
10X459,399.0,341.0,329.0,261.0,17.0,12.0,10.0,10.0,23.470588235294116,28.416666666666668,32.9,26.1,12.2
11X019,256.0,184.0,165.0,165.0,9.0,7.0,6.0,6.0,28.444444444444443,26.285714285714285,27.5,27.5,15.7
11X083,715.0,715.0,685.0,685.0,22.0,24.0,23.0,25.0,32.5,29.791666666666668,29.782608695652176,27.4,15.900000000000004
11X089,505.0,505.0,505.0,505.0,20.0,18.0,19.0,18.0,25.25,28.055555555555557,26.57894736842105,28.055555555555557,16.699999999999996
11X127,883.0,803.0,772.0,772.0,39.0,34.0,29.0,29.0,22.641025641025642,23.61764705882353,26.620689655172413,26.620689655172413,14.099999999999996
11X144,621.0,571.0,455.0,483.0,29.0,24.0,20.0,21.0,21.413793103448278,23.791666666666668,22.75,23.0,15.300000000000004
11X175,132.0,141.0,272.0,264.0,6.0,7.0,13.0,12.0,22.0,20.142857142857142,20.923076923076923,22.0,13.5
11X180,883.0,882.0,883.0,883.0,33.0,33.0,33.0,33.0,26.757575757575758,26.727272727272727,26.757575757575758,26.757575757575758,16.5
11X181,855.0,855.0,855.0,877.0,37.0,37.0,37.0,38.0,23.10810810810811,23.10810810810811,23.10810810810811,23.07894736842105,14.0
11X194,569.0,489.0,489.0,489.0,22.0,17.0,17.0,17.0,25.863636363636363,28.764705882352942,28.764705882352942,28.764705882352942,14.699999999999998
11X287,496.0,261.0,261.0,261.0,43.0,11.0,11.0,11.0,11.534883720930232,23.727272727272727,23.727272727272727,23.727272727272727,16.0
11X289,710.0,681.0,312.0,312.0,33.0,30.0,14.0,14.0,21.515151515151516,22.7,22.285714285714285,22.285714285714285,11.2
11X326,393.0,391.0,520.0,393.0,12.0,14.0,18.0,14.0,32.75,27.928571428571427,28.88888888888889,28.071428571428573,14.599999999999996
