DBN,Number of Students English,Number of Students Math,Number of Students Science,Number of Students Social Studies,Number of Classes English,Number of Classes Math,Number of Classes Science,Number of Classes Social Studies,Average Class Size English,Average Class Size Math,Average Class Size Science,Average Class Size Social Studies,School Pupil-Teacher Ratio
18K366,459.0,482.0,668.0,431.0,18.0,20.0,27.0,19.0,25.5,24.1,24.74074074074074,22.68421052631579,11.699999999999998
18K581,186.0,125.0,124.0,125.0,9.0,7.0,6.0,6.0,20.666666666666668,17.857142857142858,20.666666666666668,20.833333333333332,9.599999999999998
18K588,435.0,188.0,188.0,188.0,19.0,9.0,9.0,9.0,22.894736842105264,20.88888888888889,20.88888888888889,20.88888888888889,10.599999999999998
18K598,310.0,310.0,155.0,150.0,11.0,22.0,7.0,7.0,28.181818181818183,14.090909090909092,22.142857142857142,21.428571428571427,14.300000000000004
18K763,223.0,223.0,223.0,223.0,12.0,12.0,12.0,12.0,18.583333333333332,18.583333333333332,18.583333333333332,18.583333333333332,11.599999999999996
19K089,487.0,165.0,192.0,165.0,20.0,8.0,9.0,7.0,24.35,20.625,21.333333333333332,23.571428571428573,10.900000000000004
19K171,484.0,565.0,451.0,480.0,22.0,24.0,20.0,22.0,22.0,23.541666666666668,22.55,21.818181818181817,14.400000000000004
19K218,776.0,417.0,424.0,387.0,35.0,19.0,19.0,18.0,22.17142857142857,21.94736842105263,22.31578947368421,21.5,14.599999999999996
19K292,1038.0,904.0,603.0,585.0,47.0,43.0,27.0,27.0,22.085106382978722,21.023255813953487,22.333333333333332,21.666666666666668,13.699999999999994
19K306,233.0,139.0,139.0,137.0,14.0,8.0,9.0,9.0,16.642857142857142,17.375,15.444444444444445,15.222222222222221,9.799999999999999
19K311,105.0,105.0,105.0,105.0,7.0,7.0,7.0,7.0,15.0,15.0,15.0,15.0,8.5
19K364,353.0,363.0,324.0,324.0,15.0,15.0,13.0,13.0,23.533333333333335,24.2,24.923076923076923,24.923076923076923,15.099999999999998
19K404,,190.0,190.0,,,9.0,9.0,,,21.11111111111111,21.11111111111111,,12.2
19K409,247.0,382.0,221.0,270.0,10.0,16.0,9.0,11.0,24.7,23.875,24.555555555555557,24.545454545454547,12.900000000000004
19K422,220.0,220.0,220.0,220.0,9.0,9.0,9.0,9.0,24.444444444444443,24.444444444444443,24.444444444444443,24.444444444444443,11.5
19K452,121.0,324.0,324.0,121.0,4.0,12.0,12.0,4.0,30.25,27.0,27.0,30.25,13.3
19K654,312.0,327.0,327.0,297.0,14.0,14.0,12.0,12.0,22.285714285714285,23.357142857142858,27.25,24.75,16.699999999999996
19K661,268.0,381.0,381.0,113.0,11.0,16.0,16.0,5.0,24.363636363636363,23.8125,23.8125,22.6,15.900000000000004
19K662,968.0,413.0,439.0,439.0,37.0,17.0,17.0,17.0,26.16216216216216,24.294117647058822,25.823529411764707,25.823529411764707,11.8
19K663,288.0,182.0,144.0,144.0,14.0,9.0,8.0,8.0,20.571428571428573,20.22222222222222,18.0,18.0,8.400000000000002
19K678,171.0,250.0,335.0,,7.0,10.0,13.0,,24.428571428571427,25.0,25.76923076923077,,11.799999999999999
20K030,389.0,379.0,379.0,378.0,16.0,14.0,14.0,14.0,24.3125,27.071428571428573,27.071428571428573,27.0,12.599999999999996
20K062,1597.0,1185.0,1185.0,1970.0,67.0,47.0,47.0,79.0,23.83582089552239,25.21276595744681,25.21276595744681,24.936708860759495,14.699999999999996
20K104,888.0,607.0,486.0,485.0,33.0,20.0,16.0,16.0,26.90909090909091,30.35,30.375,30.3125,18.199999999999996
20K163,247.0,247.0,259.0,247.0,10.0,10.0,11.0,10.0,24.7,24.7,23.545454545454547,24.7,14.299999999999999
20K180,830.0,632.0,674.0,535.0,32.0,24.0,26.0,21.0,25.9375,26.333333333333332,25.923076923076923,25.476190476190474,14.800000000000004
20K187,1052.0,934.0,1385.0,1313.0,42.0,37.0,49.0,46.0,25.047619047619047,25.243243243243242,28.26530612244898,28.543478260869566,17.599999999999998
20K192,296.0,189.0,189.0,159.0,12.0,8.0,8.0,7.0,24.666666666666668,23.625,23.625,22.714285714285715,13.5
20K201,1714.0,1512.0,1513.0,1514.0,58.0,54.0,51.0,52.0,29.551724137931036,28.0,29.666666666666668,29.115384615384617,18.099999999999998
20K220,1969.0,1481.0,1481.0,917.0,71.0,52.0,43.0,32.0,27.732394366197184,28.48076923076923,34.44186046511628,28.65625,15.0
20K223,1296.0,1004.0,1004.0,1005.0,58.0,41.0,41.0,41.0,22.344827586206897,24.48780487804878,24.48780487804878,24.51219512195122,15.099999999999996
20K227,2384.0,1780.0,1359.0,1352.0,96.0,70.0,54.0,54.0,24.833333333333332,25.428571428571427,25.166666666666668,25.037037037037038,16.300000000000004
20K229,343.0,343.0,343.0,343.0,13.0,13.0,13.0,13.0,26.384615384615383,26.384615384615383,26.384615384615383,26.384615384615383,18.5
20K259,1813.0,1748.0,2018.0,1748.0,75.0,62.0,71.0,62.0,24.173333333333332,28.193548387096776,28.422535211267604,28.193548387096776,18.399999999999995
20K609,411.0,216.0,310.0,216.0,17.0,9.0,13.0,9.0,24.176470588235293,24.0,23.846153846153847,24.0,12.900000000000004
20K686,213.0,213.0,213.0,213.0,7.0,7.0,7.0,7.0,30.428571428571427,30.428571428571427,30.428571428571427,30.428571428571427,20.5
21K095,170.0,296.0,144.0,144.0,8.0,13.0,7.0,7.0,21.25,22.76923076923077,20.571428571428573,20.571428571428573,14.900000000000004
21K096,991.0,790.0,787.0,711.0,46.0,33.0,32.0,28.0,21.543478260869566,23.939393939393938,24.59375,25.392857142857142,13.400000000000004
21K098,2548.0,3033.0,1702.0,1724.0,84.0,100.0,56.0,59.0,30.333333333333332,30.33,30.392857142857142,29.220338983050848,22.600000000000005
21K099,496.0,339.0,243.0,253.0,22.0,16.0,11.0,12.0,22.545454545454547,21.1875,22.09090909090909,21.083333333333332,15.700000000000001
21K121,103.0,95.0,95.0,95.0,5.0,5.0,5.0,4.0,20.6,19.0,19.0,23.75,7.1
21K209,116.0,116.0,116.0,116.0,5.0,5.0,5.0,5.0,23.2,23.2,23.2,23.2,13.099999999999998
21K225,354.0,385.0,354.0,354.0,15.0,16.0,15.0,15.0,23.6,24.0625,23.6,23.6,13.599999999999996
21K226,375.0,317.0,317.0,317.0,17.0,14.0,14.0,14.0,22.058823529411764,22.642857142857142,22.642857142857142,22.642857142857142,14.300000000000002
21K228,1771.0,1115.0,1412.0,1383.0,71.0,42.0,56.0,54.0,24.943661971830984,26.547619047619047,25.214285714285715,25.61111111111111,14.400000000000004
21K238,191.0,191.0,191.0,191.0,10.0,10.0,10.0,10.0,19.1,19.1,19.1,19.1,12.299999999999999
21K239,2710.0,2164.0,1169.0,1553.0,87.0,69.0,37.0,50.0,31.149425287356323,31.36231884057971,31.594594594594593,31.06,16.5
21K281,1344.0,1286.0,1286.0,1286.0,53.0,48.0,48.0,48.0,25.358490566037737,26.791666666666668,26.791666666666668,26.791666666666668,18.4
21K288,162.0,161.0,162.0,143.0,8.0,8.0,8.0,7.0,20.25,20.125,20.25,20.428571428571427,13.4
21K303,496.0,496.0,496.0,496.0,20.0,20.0,19.0,19.0,24.8,24.8,26.105263157894736,26.105263157894736,15.400000000000004
21K468,286.0,286.0,286.0,286.0,12.0,12.0,12.0,12.0,23.833333333333332,23.833333333333332,23.833333333333332,23.833333333333332,16.3
21K690,473.0,455.0,268.0,268.0,22.0,20.0,12.0,12.0,21.5,22.75,22.333333333333332,22.333333333333332,15.699999999999998
22K014,767.0,606.0,765.0,622.0,37.0,29.0,36.0,28.0,20.72972972972973,20.896551724137932,21.25,22.214285714285715,12.5
22K078,975.0,586.0,586.0,663.0,40.0,24.0,24.0,27.0,24.375,24.416666666666668,24.416666666666668,24.555555555555557,15.300000000000004
22K109,270.0,295.0,325.0,270.0,12.0,14.0,14.0,12.0,22.5,21.071428571428573,23.214285714285715,22.5,14.0
22K206,413.0,376.0,376.0,376.0,17.0,14.0,13.0,13.0,24.294117647058822,26.857142857142858,28.923076923076923,28.923076923076923,17.300000000000004
22K207,451.0,616.0,452.0,447.0,17.0,27.0,16.0,15.0,26.529411764705884,22.814814814814813,28.25,29.8,15.599999999999996
22K234,3960.0,3960.0,2006.0,1980.0,130.0,130.0,66.0,65.0,30.46153846153846,30.46153846153846,30.393939393939394,30.46153846153846,18.399999999999995
22K240,858.0,896.0,800.0,800.0,34.0,32.0,29.0,30.0,25.235294117647058,28.0,27.586206896551722,26.666666666666668,15.400000000000004
22K278,1962.0,1026.0,1051.0,1056.0,81.0,42.0,43.0,43.0,24.22222222222222,24.428571428571427,24.441860465116278,24.558139534883722,12.599999999999996
22K381,290.0,303.0,516.0,358.0,13.0,14.0,24.0,16.0,22.307692307692307,21.642857142857142,21.5,22.375,12.5
23K041,346.0,216.0,172.0,172.0,15.0,10.0,9.0,8.0,23.066666666666666,21.6,19.11111111111111,21.5,12.5
23K137,56.0,82.0,81.0,66.0,3.0,5.0,5.0,4.0,18.666666666666668,16.4,16.2,16.5,11.700000000000001
23K155,130.0,130.0,130.0,130.0,7.0,6.0,7.0,7.0,18.571428571428573,21.666666666666668,18.571428571428573,18.571428571428573,13.200000000000001
23K165,96.0,96.0,96.0,96.0,7.0,7.0,7.0,7.0,13.714285714285714,13.714285714285714,13.714285714285714,13.714285714285714,9.1
23K178,100.0,100.0,100.0,100.0,5.0,6.0,5.0,5.0,20.0,16.666666666666668,20.0,20.0,13.7
23K184,135.0,181.0,127.0,96.0,9.0,11.0,8.0,7.0,15.0,16.454545454545453,15.875,13.714285714285714,12.400000000000004
23K284,171.0,171.0,171.0,171.0,8.0,8.0,8.0,8.0,21.375,21.375,21.375,21.375,11.1
23K323,170.0,170.0,170.0,170.0,7.0,7.0,7.0,7.0,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,17.9
23K327,22.0,73.0,73.0,22.0,2.0,4.0,4.0,2.0,11.0,18.25,18.25,11.0,14.299999999999999
23K363,88.0,88.0,88.0,88.0,5.0,5.0,5.0,5.0,17.6,17.6,17.6,17.6,8.900000000000002
23K392,352.0,291.0,283.0,178.0,15.0,13.0,11.0,6.0,23.466666666666665,22.384615384615383,25.727272727272727,29.666666666666668,13.5
23K518,198.0,197.0,197.0,197.0,9.0,9.0,9.0,9.0,22.0,21.88888888888889,21.88888888888889,21.88888888888889,15.8
23K522,162.0,162.0,159.0,162.0,8.0,8.0,8.0,8.0,20.25,20.25,19.875,20.25,12.900000000000004
23K644,406.0,298.0,269.0,265.0,19.0,14.0,11.0,13.0,21.36842105263158,21.285714285714285,24.454545454545453,20.384615384615383,14.400000000000002
23K664,116.0,145.0,87.0,87.0,8.0,9.0,6.0,6.0,14.5,16.11111111111111,14.5,14.5,7.200000000000001
23K668,116.0,116.0,116.0,116.0,6.0,6.0,6.0,6.0,19.333333333333332,19.333333333333332,19.333333333333332,19.333333333333332,9.9
23K671,312.0,219.0,250.0,191.0,17.0,12.0,14.0,10.0,18.352941176470587,18.25,17.857142857142858,19.1,11.200000000000001
23K697,75.0,50.0,50.0,50.0,5.0,3.0,3.0,3.0,15.0,16.666666666666668,16.666666666666668,16.666666666666668,13.200000000000001
24Q005,1911.0,1911.0,1832.0,1832.0,80.0,80.0,72.0,72.0,23.8875,23.8875,25.444444444444443,25.444444444444443,15.0
24Q049,416.0,409.0,409.0,552.0,13.0,14.0,13.0,17.0,32.0,29.214285714285715,31.46153846153846,32.470588235294116,18.0
24Q061,1786.0,1347.0,1377.0,1405.0,76.0,55.0,56.0,57.0,23.5,24.490909090909092,24.589285714285715,24.649122807017545,13.800000000000006
24Q073,2570.0,2304.0,2042.0,2042.0,106.0,95.0,81.0,81.0,24.245283018867923,24.25263157894737,25.209876543209877,25.209876543209877,15.300000000000004
24Q077,1202.0,1014.0,1014.0,1014.0,51.0,42.0,42.0,42.0,23.568627450980394,24.142857142857142,24.142857142857142,24.142857142857142,13.0
24Q087,310.0,193.0,193.0,193.0,14.0,9.0,9.0,9.0,22.142857142857142,21.444444444444443,21.444444444444443,21.444444444444443,12.099999999999996
24Q093,1280.0,1111.0,1111.0,1111.0,56.0,45.0,45.0,44.0,22.857142857142858,24.68888888888889,24.68888888888889,25.25,14.699999999999996
24Q102,410.0,501.0,412.0,412.0,15.0,18.0,15.0,15.0,27.333333333333332,27.833333333333332,27.466666666666665,27.466666666666665,14.900000000000004
24Q113,353.0,353.0,353.0,353.0,13.0,13.0,13.0,13.0,27.153846153846153,27.153846153846153,27.153846153846153,27.153846153846153,17.199999999999996
24Q119,652.0,812.0,872.0,652.0,24.0,31.0,32.0,24.0,27.166666666666668,26.193548387096776,27.25,27.166666666666668,17.900000000000002
24Q125,2339.0,1874.0,1507.0,1505.0,86.0,67.0,57.0,57.0,27.197674418604652,27.970149253731343,26.43859649122807,26.403508771929825,15.900000000000002
24Q128,208.0,317.0,317.0,162.0,11.0,26.0,23.0,6.0,18.90909090909091,12.192307692307692,13.782608695652174,27.0,16.599999999999998
24Q311,543.0,511.0,511.0,584.0,19.0,18.0,18.0,21.0,28.57894736842105,28.38888888888889,28.38888888888889,27.80952380952381,15.599999999999996
24Q560,189.0,140.0,140.0,140.0,7.0,5.0,5.0,5.0,27.0,28.0,28.0,28.0,16.400000000000002
25Q025,957.0,957.0,957.0,957.0,33.0,33.0,33.0,33.0,29.0,29.0,29.0,29.0,21.1
25Q164,357.0,264.0,264.0,263.0,15.0,11.0,11.0,12.0,23.8,24.0,24.0,21.916666666666668,14.0
25Q185,1509.0,1502.0,1502.0,1502.0,63.0,55.0,55.0,55.0,23.952380952380953,27.30909090909091,27.30909090909091,27.30909090909091,15.900000000000004
25Q189,898.0,761.0,705.0,705.0,39.0,30.0,27.0,27.0,23.025641025641026,25.366666666666667,26.11111111111111,26.11111111111111,15.300000000000004
25Q194,1179.0,1179.0,1179.0,1179.0,42.0,42.0,42.0,42.0,28.071428571428573,28.071428571428573,28.071428571428573,28.071428571428573,16.5
25Q200,176.0,176.0,179.0,179.0,6.0,6.0,6.0,6.0,29.333333333333332,29.333333333333332,29.833333333333332,29.833333333333332,12.5
25Q219,239.0,237.0,236.0,239.0,16.0,15.0,12.0,14.0,14.9375,15.8,19.666666666666668,17.071428571428573,10.900000000000004
25Q237,1705.0,1457.0,1339.0,1424.0,64.0,56.0,51.0,54.0,26.640625,26.017857142857142,26.254901960784313,26.37037037037037,17.699999999999996
25Q250,395.0,395.0,395.0,395.0,17.0,17.0,17.0,17.0,23.235294117647058,23.235294117647058,23.235294117647058,23.235294117647058,14.0
25Q252,250.0,250.0,250.0,250.0,10.0,10.0,10.0,10.0,25.0,25.0,25.0,25.0,13.199999999999998
25Q281,455.0,333.0,333.0,333.0,19.0,12.0,12.0,12.0,23.94736842105263,27.75,27.75,27.75,11.900000000000004
25Q285,324.0,234.0,235.0,235.0,12.0,9.0,9.0,9.0,27.0,26.0,26.11111111111111,26.11111111111111,15.0
25Q294,612.0,368.0,368.0,368.0,22.0,13.0,13.0,13.0,27.818181818181817,28.307692307692307,28.307692307692307,28.307692307692307,15.300000000000004
25Q499,276.0,168.0,185.0,168.0,10.0,6.0,7.0,6.0,27.6,28.0,26.428571428571427,28.0,18.0
26Q067,1172.0,922.0,908.0,910.0,40.0,33.0,31.0,31.0,29.3,27.939393939393938,29.29032258064516,29.35483870967742,18.199999999999996
26Q074,2601.0,2393.0,1492.0,1122.0,107.0,90.0,52.0,40.0,24.30841121495327,26.58888888888889,28.692307692307693,28.05,16.900000000000002
26Q158,1187.0,1292.0,1141.0,1079.0,45.0,45.0,38.0,36.0,26.377777777777776,28.711111111111112,30.026315789473685,29.97222222222222,18.5
26Q172,1194.0,1016.0,1023.0,1025.0,40.0,34.0,34.0,34.0,29.85,29.88235294117647,30.08823529411765,30.147058823529413,17.0
26Q178,166.0,166.0,166.0,166.0,6.0,6.0,6.0,6.0,27.666666666666668,27.666666666666668,27.666666666666668,27.666666666666668,16.099999999999998
26Q216,1764.0,1523.0,1850.0,1424.0,59.0,49.0,59.0,46.0,29.89830508474576,31.081632653061224,31.35593220338983,30.956521739130434,18.5
26Q266,211.0,211.0,211.0,211.0,9.0,9.0,9.0,9.0,23.444444444444443,23.444444444444443,23.444444444444443,23.444444444444443,14.900000000000002
27Q042,380.0,506.0,215.0,215.0,16.0,20.0,10.0,10.0,23.75,25.3,21.5,21.5,11.699999999999996
27Q043,210.0,268.0,236.0,157.0,11.0,15.0,13.0,8.0,19.09090909090909,17.866666666666667,18.153846153846153,19.625,14.800000000000002
27Q047,38.0,38.0,38.0,38.0,3.0,3.0,3.0,3.0,12.666666666666666,12.666666666666666,12.666666666666666,12.666666666666666,10.5
27Q053,610.0,607.0,306.0,306.0,33.0,33.0,18.0,17.0,18.484848484848484,18.393939393939394,17.0,18.0,8.700000000000001
27Q105,474.0,388.0,242.0,242.0,23.0,19.0,12.0,12.0,20.608695652173914,20.42105263157895,20.166666666666668,20.166666666666668,12.699999999999996
27Q114,115.0,144.0,148.0,115.0,5.0,6.0,6.0,5.0,23.0,24.0,24.666666666666668,23.0,14.7
27Q124,450.0,441.0,450.0,450.0,17.0,17.0,18.0,17.0,26.470588235294116,25.941176470588236,25.0,26.470588235294116,16.900000000000002
27Q137,2677.0,2646.0,2058.0,1926.0,99.0,96.0,74.0,68.0,27.04040404040404,27.5625,27.81081081081081,28.323529411764707,16.9
27Q146,195.0,195.0,195.0,195.0,7.0,7.0,7.0,7.0,27.857142857142858,27.857142857142858,27.857142857142858,27.857142857142858,15.200000000000001
27Q183,218.0,112.0,207.0,112.0,12.0,6.0,11.0,6.0,18.166666666666668,18.666666666666668,18.818181818181817,18.666666666666668,12.599999999999996
27Q202,1826.0,1083.0,1083.0,1083.0,68.0,40.0,40.0,40.0,26.852941176470587,27.075,27.075,27.075,16.199999999999996
27Q207,237.0,283.0,237.0,237.0,11.0,11.0,9.0,9.0,21.545454545454547,25.727272727272727,26.333333333333332,26.333333333333332,11.0
27Q210,2680.0,2584.0,1684.0,1635.0,100.0,97.0,65.0,63.0,26.8,26.63917525773196,25.907692307692308,25.952380952380953,15.800000000000006
27Q226,1611.0,1554.0,909.0,914.0,65.0,63.0,35.0,36.0,24.784615384615385,24.666666666666668,25.97142857142857,25.38888888888889,17.699999999999996
27Q232,340.0,340.0,340.0,340.0,13.0,13.0,13.0,13.0,26.153846153846153,26.153846153846153,26.153846153846153,26.153846153846153,16.400000000000002
27Q262,314.0,423.0,314.0,314.0,12.0,17.0,12.0,12.0,26.166666666666668,24.88235294117647,26.166666666666668,26.166666666666668,14.0
27Q282,432.0,259.0,259.0,259.0,15.0,9.0,9.0,9.0,28.8,28.77777777777778,28.77777777777778,28.77777777777778,14.5
27Q297,392.0,391.0,391.0,392.0,17.0,16.0,15.0,16.0,23.058823529411764,24.4375,26.066666666666666,24.5,15.199999999999998
27Q309,311.0,301.0,203.0,207.0,19.0,12.0,9.0,9.0,16.36842105263158,25.083333333333332,22.555555555555557,23.0,12.7
27Q318,228.0,228.0,228.0,228.0,14.0,14.0,11.0,8.0,16.285714285714285,16.285714285714285,20.727272727272727,28.5,11.0
27Q319,491.0,571.0,374.0,409.0,24.0,30.0,18.0,19.0,20.458333333333332,19.033333333333335,20.77777777777778,21.526315789473685,10.099999999999998
27Q323,753.0,806.0,726.0,726.0,23.0,25.0,22.0,22.0,32.73913043478261,32.24,33.0,33.0,19.0
27Q333,101.0,101.0,101.0,101.0,4.0,4.0,4.0,4.0,25.25,25.25,25.25,25.25,14.5
28Q008,347.0,377.0,377.0,345.0,15.0,15.0,16.0,15.0,23.133333333333333,25.133333333333333,23.5625,23.0,12.599999999999996
28Q072,506.0,723.0,718.0,448.0,24.0,36.0,35.0,22.0,21.083333333333332,20.083333333333332,20.514285714285716,20.363636363636363,10.3
28Q157,1734.0,1518.0,1518.0,1518.0,73.0,56.0,56.0,56.0,23.753424657534246,27.107142857142858,27.107142857142858,27.107142857142858,18.699999999999996
28Q167,380.0,380.0,380.0,380.0,15.0,15.0,15.0,15.0,25.333333333333332,25.333333333333332,25.333333333333332,25.333333333333332,12.099999999999996
28Q190,1056.0,1032.0,1032.0,1032.0,38.0,36.0,35.0,36.0,27.789473684210527,28.666666666666668,29.485714285714284,28.666666666666668,17.5
28Q217,2306.0,1632.0,1741.0,1632.0,89.0,62.0,66.0,62.0,25.910112359550563,26.322580645161292,26.37878787878788,26.322580645161292,18.199999999999996
28Q284,92.0,272.0,272.0,92.0,3.0,9.0,9.0,3.0,30.666666666666668,30.22222222222222,30.22222222222222,30.666666666666668,19.599999999999998
28Q287,365.0,365.0,365.0,365.0,15.0,15.0,15.0,15.0,24.333333333333332,24.333333333333332,24.333333333333332,24.333333333333332,13.300000000000002
28Q310,257.0,259.0,255.0,255.0,11.0,11.0,11.0,11.0,23.363636363636363,23.545454545454547,23.181818181818183,23.181818181818183,13.900000000000004
28Q332,325.0,325.0,325.0,325.0,15.0,15.0,15.0,15.0,21.666666666666668,21.666666666666668,21.666666666666668,21.666666666666668,13.099999999999996
28Q358,643.0,384.0,262.0,122.0,24.0,15.0,10.0,5.0,26.791666666666668,25.6,26.2,24.4,14.0
28Q680,552.0,365.0,276.0,276.0,18.0,13.0,10.0,9.0,30.666666666666668,28.076923076923077,27.6,30.666666666666668,19.199999999999996
28Q896,236.0,236.0,236.0,236.0,9.0,9.0,9.0,9.0,26.22222222222222,26.22222222222222,26.22222222222222,26.22222222222222,16.599999999999998
29Q059,611.0,617.0,545.0,680.0,28.0,27.0,23.0,28.0,21.821428571428573,22.85185185185185,23.695652173913043,24.285714285714285,18.600000000000005
29Q109,1079.0,1026.0,1026.0,1211.0,42.0,39.0,39.0,45.0,25.69047619047619,26.307692307692307,26.307692307692307,26.91111111111111,16.800000000000004
29Q116,308.0,195.0,195.0,195.0,16.0,8.0,8.0,8.0,19.25,24.375,24.375,24.375,13.699999999999998
29Q138,654.0,327.0,327.0,327.0,30.0,15.0,15.0,15.0,21.8,21.8,21.8,21.8,14.900000000000004
29Q147,150.0,150.0,150.0,150.0,8.0,8.0,8.0,8.0,18.75,18.75,18.75,18.75,15.700000000000001
29Q192,530.0,556.0,487.0,428.0,24.0,23.0,21.0,18.0,22.083333333333332,24.17391304347826,23.19047619047619,23.77777777777778,14.900000000000004
29Q208,283.0,283.0,283.0,283.0,10.0,10.0,10.0,10.0,28.3,28.3,28.3,28.3,15.0
29Q238,2939.0,2673.0,1482.0,1482.0,117.0,107.0,59.0,59.0,25.11965811965812,24.981308411214954,25.11864406779661,25.11864406779661,15.800000000000004
29Q259,248.0,248.0,248.0,248.0,10.0,10.0,9.0,10.0,24.8,24.8,27.555555555555557,24.8,17.900000000000002
29Q268,215.0,188.0,187.0,188.0,10.0,9.0,9.0,9.0,21.5,20.88888888888889,20.77777777777778,20.88888888888889,13.5
29Q270,268.0,268.0,268.0,268.0,9.0,9.0,9.0,9.0,29.77777777777778,29.77777777777778,29.77777777777778,29.77777777777778,16.400000000000002
29Q283,243.0,264.0,208.0,242.0,10.0,12.0,10.0,11.0,24.3,22.0,20.8,22.0,18.100000000000005
29Q289,9.0,304.0,304.0,9.0,1.0,12.0,13.0,1.0,9.0,25.333333333333332,23.384615384615383,9.0,13.099999999999998
29Q295,190.0,197.0,200.0,186.0,8.0,9.0,9.0,8.0,23.75,21.88888888888889,22.22222222222222,23.25,13.800000000000004
29Q327,471.0,457.0,288.0,279.0,26.0,24.0,15.0,14.0,18.115384615384617,19.041666666666668,19.2,19.928571428571427,12.900000000000004
29Q355,17.0,565.0,518.0,,2.0,28.0,26.0,,8.5,20.178571428571427,19.923076923076923,,12.700000000000001
29Q356,316.0,305.0,305.0,214.0,14.0,13.0,13.0,9.0,22.571428571428573,23.46153846153846,23.46153846153846,23.77777777777778,12.599999999999996
30Q010,1171.0,814.0,757.0,757.0,47.0,34.0,31.0,31.0,24.914893617021278,23.941176470588236,24.419354838709676,24.419354838709676,14.900000000000004
30Q078,110.0,110.0,172.0,110.0,6.0,6.0,8.0,6.0,18.333333333333332,18.333333333333332,21.5,18.333333333333332,15.0
30Q111,75.0,75.0,75.0,75.0,6.0,6.0,6.0,6.0,12.5,12.5,12.5,12.5,8.5
30Q122,273.0,273.0,273.0,273.0,10.0,10.0,10.0,10.0,27.3,27.3,27.3,27.3,18.7
30Q126,950.0,952.0,652.0,625.0,38.0,38.0,26.0,25.0,25.0,25.05263157894737,25.076923076923077,25.0,15.400000000000004
30Q127,597.0,414.0,409.0,414.0,26.0,16.0,15.0,17.0,22.96153846153846,25.875,27.266666666666666,24.352941176470587,14.300000000000002
30Q141,1752.0,2032.0,1145.0,1117.0,67.0,79.0,43.0,42.0,26.149253731343283,25.72151898734177,26.627906976744185,26.595238095238095,16.4
30Q145,2584.0,2116.0,2051.0,2360.0,106.0,85.0,82.0,90.0,24.37735849056604,24.894117647058824,25.01219512195122,26.22222222222222,14.199999999999996
30Q204,475.0,486.0,486.0,475.0,23.0,24.0,24.0,23.0,20.652173913043477,20.25,20.25,20.652173913043477,11.8
30Q227,1485.0,1499.0,1418.0,1498.0,62.0,61.0,55.0,58.0,23.951612903225808,24.57377049180328,25.78181818181818,25.82758620689655,17.0
30Q230,1437.0,1375.0,1365.0,1308.0,57.0,52.0,51.0,46.0,25.210526315789473,26.442307692307693,26.764705882352942,28.434782608695652,15.699999999999996
30Q235,278.0,202.0,128.0,115.0,16.0,12.0,7.0,7.0,17.375,16.833333333333332,18.285714285714285,16.428571428571427,12.5
30Q286,325.0,238.0,297.0,283.0,14.0,9.0,11.0,13.0,23.214285714285715,26.444444444444443,27.0,21.76923076923077,15.599999999999996
30Q291,701.0,516.0,408.0,408.0,35.0,20.0,15.0,15.0,20.02857142857143,25.8,27.2,27.2,12.699999999999998
30Q300,151.0,151.0,151.0,151.0,5.0,6.0,6.0,6.0,30.2,25.166666666666668,25.166666666666668,25.166666666666668,19.599999999999998
30Q580,219.0,219.0,219.0,219.0,8.0,8.0,8.0,8.0,27.375,27.375,27.375,27.375,17.4
31R002,1101.0,999.0,950.0,861.0,41.0,40.0,37.0,34.0,26.853658536585368,24.975,25.675675675675677,25.323529411764707,14.699999999999996
31R007,1385.0,1288.0,1162.0,1161.0,46.0,43.0,39.0,39.0,30.108695652173914,29.953488372093023,29.794871794871796,29.76923076923077,16.400000000000002
31R024,1296.0,1296.0,1296.0,1296.0,49.0,49.0,50.0,49.0,26.448979591836736,26.448979591836736,25.92,26.448979591836736,13.900000000000004
31R027,1203.0,1186.0,1009.0,1067.0,48.0,46.0,40.0,42.0,25.0625,25.782608695652176,25.225,25.404761904761905,15.0
31R028,60.0,124.0,120.0,30.0,2.0,6.0,5.0,1.0,30.0,20.666666666666668,24.0,30.0,11.2
31R034,1119.0,1114.0,1114.0,993.0,270.0,220.0,32.0,32.0,4.144444444444445,5.0636363636363635,34.8125,31.03125,14.0
31R048,534.0,344.0,317.0,416.0,21.0,29.0,10.0,31.0,25.428571428571427,11.862068965517242,31.7,13.419354838709678,16.5
31R049,861.0,751.0,778.0,751.0,37.0,33.0,34.0,33.0,23.27027027027027,22.757575757575758,22.88235294117647,22.757575757575758,12.800000000000002
31R051,2111.0,1552.0,1320.0,1387.0,93.0,63.0,54.0,59.0,22.698924731182796,24.634920634920636,24.444444444444443,23.508474576271187,13.599999999999998
31R061,1658.0,1306.0,1052.0,1052.0,72.0,53.0,44.0,44.0,23.02777777777778,24.641509433962263,23.90909090909091,23.90909090909091,14.199999999999996
31R063,443.0,449.0,443.0,438.0,15.0,17.0,18.0,19.0,29.533333333333335,26.41176470588235,24.61111111111111,23.05263157894737,14.0
31R072,1412.0,1315.0,1315.0,1315.0,63.0,54.0,54.0,54.0,22.41269841269841,24.35185185185185,24.35185185185185,24.35185185185185,14.199999999999996
