,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
0,0.11263561248779297,0.0037918478638289087,0.20952062606811522,0.002347023045125149,,0.2,1,2,10,"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",0.7586206896551725,0.5925925925925927,0.5999999999999999,0.35714285714285715,0.7741935483870968,0.6168929854048689,0.1504273074000512,409,0.9066666666666666,0.8513513513513513,0.8378378378378378,0.7567567567567568,0.9054054054054054,0.8517520215633423,0.05497649929041064,8
1,0.12477517127990723,0.0016673021824244775,0.21366257667541505,0.0005103187679872854,,0.2,1,2,30,"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 30}",0.7586206896551725,0.6428571428571428,0.5925925925925927,0.48484848484848486,0.7272727272727272,0.6415547219525285,0.09804401373688318,347,0.9066666666666666,0.8648648648648649,0.8513513513513513,0.7702702702702703,0.8783783783783784,0.8544474393530997,0.04585167534312614,3
2,0.1647209644317627,0.0015070175552731615,0.2123936176300049,0.0008623979951389527,,0.2,1,2,100,"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8,0.6428571428571428,0.5517241379310345,0.5555555555555555,0.7428571428571428,0.6589799311613607,0.09951613487417617,251,0.92,0.8648648648648649,0.8243243243243243,0.7837837837837838,0.8783783783783784,0.8544474393530997,0.04670694651166568,3
3,0.4823798656463623,0.005304800238003673,0.21151204109191896,0.001588512162443392,,0.2,1,2,300,"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8387096774193548,0.6428571428571428,0.5517241379310345,0.5142857142857143,0.7058823529411765,0.6511985918047619,0.11589154102858974,293,0.9333333333333333,0.8648648648648649,0.8243243243243243,0.7702702702702703,0.8648648648648649,0.8517520215633423,0.05374358637116789,8
4,0.11339640617370605,0.0011107371929313442,0.2113879680633545,0.0017715579766292725,,0.2,1,3,10,"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 10}",0.7333333333333334,0.5925925925925927,0.5185185185185185,0.3448275862068966,0.6875,0.5757802253410581,0.13732122192396645,432,0.8933333333333333,0.8513513513513513,0.8243243243243243,0.7432432432432432,0.8648648648648649,0.8355795148247979,0.05119415993622592,190
5,0.12427940368652343,0.0015072943144801454,0.21362195014953614,0.0011305637229602115,,0.2,1,3,30,"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 30}",0.7142857142857143,0.6428571428571428,0.5714285714285714,0.4000000000000001,0.8235294117647058,0.6306462207524519,0.14203866078716446,375,0.8933333333333333,0.8648648648648649,0.8378378378378378,0.7567567567567568,0.918918918918919,0.8544474393530997,0.0558119971974377,3
6,0.1648472785949707,0.0021173790845273447,0.21198177337646484,0.002277748972252309,,0.2,1,3,100,"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 100}",0.8387096774193548,0.5925925925925927,0.5517241379310345,0.5142857142857143,0.7058823529411765,0.6411727785444473,0.11832808189079728,349,0.9333333333333333,0.8513513513513513,0.8243243243243243,0.7702702702702703,0.8648648648648649,0.8490566037735849,0.05335581675395704,22
7,0.4799058437347412,0.00426500255902073,0.21255965232849122,0.0014677185094511553,,0.2,1,3,300,"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}",0.8125000000000001,0.5925925925925927,0.5999999999999999,0.5142857142857143,0.7058823529411765,0.6455034739262582,0.10378149235288035,318,0.92,0.8513513513513513,0.8378378378378378,0.7702702702702703,0.8648648648648649,0.8490566037735849,0.04828619891665019,22
8,0.11242923736572266,0.0025405971746034696,0.21248173713684082,0.0014089888188179446,,0.2,1,5,10,"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",0.7333333333333334,0.6206896551724139,0.5185185185185185,0.3448275862068966,0.6666666666666667,0.5772290554333496,0.13549541367441015,431,0.8933333333333333,0.8513513513513513,0.8243243243243243,0.7432432432432432,0.8378378378378378,0.8301886792452831,0.04921111813734009,276
9,0.1250168800354004,0.0013822237076636537,0.214432954788208,0.002275160876227221,,0.2,1,5,30,"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 30}",0.8750000000000001,0.6428571428571428,0.6206896551724139,0.5,0.7222222222222222,0.6727005592955032,0.1242121183848038,116,0.9466666666666667,0.8648648648648649,0.8513513513513513,0.7837837837837838,0.8648648648648649,0.862533692722372,0.05191349220029598,1
