DBN,DataName,SchoolName1,SchoolName2,NumSHSATTestTakers,NumSpecializedOffers,OffersPerStudent,PctBlackOrHispanic
29Q059,I.S. 059 SPRINGFIELD GARDENS,Intermediate School 59,The Springfield Gardens School,56,0,0,92%
30Q010,I.S. 010 HORACE GREELEY,Intermediate School 10,The Horace Greeley School,56,0,0,63%
84K517,LEADERSHIP PREP BEDFORD STUYVESANT UNCOMMON PREP CHARTER SCHOOL,,Leadership Prep Bedford Stuyvesant Charter School,56,0,0,94%
27Q226,J.H.S. 226 VIRGIL I. GRISSOM,Junior High School 226,The Virgil I. Grissom School,58,0,0,55%
84X419,BRONX ACADEMY OF PROMISE CHARTER SCHOOL,,Bronx Academy of Promise Charter School,58,0,0,97%
84K712,EXCELLENCE GIRLS CHARTER SCHOOL,,Excellence Girls Charter School,59,0,0,94%
24Q077,I.S. 077,,Intermediate School 77,61,0,0,80%
09X218,P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,Public School/Intermediate School 218,The Rafael Hernandez Dual Language Magnet School,63,0,0,95%
10X228,JONAS BRONCK ACADEMY,,Jonas Bronck Academy,64,0,0,89%
84K774,ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,,Achievement First Apollo Charter School,65,0,0,93%
84X255,BRONX CHARTER SCHOOL FOR EXCELLENCE,,Bronx Charter School for Excellence,65,0,0,73%
09X128,MOTT HALL III,,Mott Hall III,68,0,0,97%
17K002,PARKSIDE PREPARATORY ACADEMY,,Parkside Preparatory Academy,69,0,0,91%
22K240,ANDRIES HUDDE,,Andries Hudde,74,0,0,72%
31R002,I.S. R002 GEORGE L. EGBERT,Intermediate School R2,The George L. Egbert School,75,0,0,37%
24Q093,I.S. 093 RIDGEWOOD,Intermediate School 93,The Ridgewood School,78,0,0,73%
06M223,THE MOTT HALL SCHOOL,,The Mott Hall School,81,0,0,91%
10X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,,The New School for Leadership and Journalism,91,0,0,93%
24Q061,I.S. 061 LEONARDO DA VINCI,Intermediate School 61,The Leonardo Da Vinci School,93,0,0,91%
08X071,P.S. 071 ROSE E. SCALA,Public School 71,The Rose E. Scala School,96,0,0,67%
17K061,M.S. 061 DR. GLADSTONE H. ATWELL,Middle School 61,The Dr. Gladstone H. Atwell School,96,0,0,96%
20K062,J.H.S. 062 DITMAS,Junior High School 62,The Ditmas School,104,0,0,53%
29Q238,I.S. 238 - SUSAN B. ANTHONY ACADEMY,Intermediate School 238,The Susan B. Anthony Academy,123,0,0,65%
11X180,M.S. 180 DR. DANIEL HALE WILLIAMS,Middle School 180,The Dr. Daniel Hale Williams School,151,0,0,92%
32K383,J.H.S. 383 PHILIPPA SCHUYLER,Junior High School 383,The Philippa Schuyler School,179,0,0,93%
