DBN,DataName,SchoolName1,SchoolName2,NumSHSATTestTakers,NumSpecializedOffers,OffersPerStudent,PctBlackOrHispanic
84M353,NEW HEIGHTS ACADEMY CHARTER SCHOOL,,New Heights Academy Charter School,0,0,0,100%
84X185,BRONX LIGHTHOUSE CHARTER SCHOOL,,Bronx Lighthouse Charter School,0,0,0,98%
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,Public School 34,The Franklin D. Roosevelt School,6,0,0,93%
01M140,P.S. 140 NATHAN STRAUS,Public School 140,The Nathan Straus School,6,0,0,91%
02M217,P.S./I.S. 217 ROOSEVELT ISLAND,Public School/Intermediate School 217,The Roosevelt Island School,6,0,0,26%
03M191,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS,,The Riverside School for Makers and Artists,6,0,0,77%
04M377,RENAISSANCE SCHOOL OF THE ARTS,,Renaissance School of the Arts,6,0,0,95%
04M964,CENTRAL PARK EAST II,,Central Park East II,6,0,0,65%
06M018,P.S. 018 PARK TERRACE,Public School 18,The Park Terrace School,6,0,0,99%
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,,Washington Heights Expeditionary Learning School,6,0,0,95%
07X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,,South Bronx Academy for Applied Media,6,0,0,97%
10X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,Public School X37,The Multiple Intelligence School,6,0,0,95%
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,,Theatre Arts Production Company School,6,0,0,96%
12X372,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,,Urban Assembly School for Wildlife Conservation,6,0,0,94%
14K586,LYONS COMMUNITY SCHOOL,,Lyons Community School,6,0,0,96%
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,,Brooklyn Secondary School for Collaborative Studies,6,0,0,83%
17K353,ELIJAH STROUD MIDDLE SCHOOL,,Elijah Stroud Middle School,6,0,0,96%
19K422,SPRING CREEK COMMUNITY SCHOOL,,Spring Creek Community School,6,0,0,95%
23K668,RIVERDALE AVENUE MIDDLE SCHOOL,,Riverdale Avenue Middle School,6,0,0,92%
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,,Pathways College Preparatory School: A College Board School,6,0,0,91%
30Q235,ACADEMY FOR NEW AMERICANS,,Academy for New Americans,6,0,0,67%
03M165,P.S. 165 ROBERT E. SIMON,Public School 165,The Robert E. Simon School,7,0,0,75%
04M050,P.S. 050 VITO MARCANTONIO,Public School 50,The Vito Marcantonio School,7,0,0,96%
09X004,P.S./M.S. 004 CROTONA PARK WEST,Public School/Middle School 4,The Crotona Park West School,7,0,0,97%
09X219,I.S. 219 NEW VENTURE SCHOOL,Intermediate School 219,The New Venture School,7,0,0,98%
09X231,EAGLE ACADEMY FOR YOUNG MEN,,Eagle Academy for Young Men,7,0,0,98%
12X211,P.S. 211,,Public School 211,7,0,0,99%
12X341,ACCION ACADEMY,,Accion Academy,7,0,0,97%
14K050,J.H.S. 050 JOHN D. WELLS,Junior High School 50,The John D. Wells School,7,0,0,96%
17K484,RONALD EDMONDS LEARNING CENTER II,,Ronald Edmonds Learning Center II,7,0,0,97%
19K404,ACADEMY FOR YOUNG WRITERS,,Academy for Young Writers,7,0,0,97%
21K121,P.S. 121 NELSON A. ROCKEFELLER,Public School 121,The Nelson A. Rockefeller School,7,0,0,45%
27Q043,P.S. 043,,Public School 43,7,0,0,91%
27Q105,P.S. 105 THE BAY SCHOOL,Public School 105,The Bay School,7,0,0,95%
32K349,"I.S. 349 MATH, SCIENCE & TECH.",Intermediate School 349,"The Math, Science and Technology School",7,0,0,99%
84K730,SUMMIT ACADEMY CHARTER SCHOOL,,Summit Academy Charter School,7,0,0,94%
84M704,HARBOR SCIENCE AND ARTS CHARTER SCHOOL,,Harbor Science and Arts Charter School,7,0,0,96%
84X482,DR. RICHARD IZQUIERDO HEALTH AND SCIENCE CHARTER SCHOOL,,Dr. Richard Izquierdo Health and Science Charter School,7,0,0,97%
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,,Young Women's Leadership School,8,0,0,85%
05M046,P.S. 046 ARTHUR TAPPAN,Public School 46,The Arthur Tappan School,8,0,0,97%
06M210,P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,Public School/Intermediate School 210,Twenty-First Century Academy for Community Leadership,8,0,0,99%
07X005,P.S. 5 PORT MORRIS,Public School 5,The Port Morris School,8,0,0,96%
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,,South Bronx Preparatory: A College Board School,8,0,0,96%
10X206,I.S. 206 ANN MERSEREAU,Intermediate School 206,The Ann Mersereau School,8,0,0,97%
12X217,SCHOOL OF PERFORMING ARTS,,School of Performing Arts,8,0,0,95%
13K266,M.S. K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL,Middle School K266,The Park Place Community Middle School,8,0,0,92%
16K308,P.S. 308 CLARA CARDWELL,Public School 308,The Clara Cardwell School,8,0,0,95%
23K155,P.S./ I.S. 155 NICHOLAS HERKIMER,Public School/Intermediate School 155,The Nicholas Herkimer School,8,0,0,95%
32K162,J.H.S. 162 THE WILLOUGHBY,Junior High School 162,The Willoughby School,8,0,0,93%
32K291,J.H.S. 291 ROLAND HAYES,Junior High School 291,The Roland Hayes School,8,0,0,97%
32K384,P.S./I.S. 384 FRANCES E. CARTER,Public School/Intermediate School 384,The Frances E. Carter School,8,0,0,98%
84M709,HARLEM VILLAGE ACADEMY CHARTER SCHOOL,,Harlem Village Academy Charter School,8,0,0,97%
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,,Professional Performing Arts High School,9,0,0,43%
04M108,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX,Public School 108,The Assemblyman Angelo Del Toro Educational Complex School,9,0,0,94%
06M328,COMMUNITY MATH & SCIENCE PREP,,Community Math and Science Prep,9,0,0,95%
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,Public School/Middle School 31,The William Lloyd Garrison School,9,0,0,94%
07X298,ACADEMY OF PUBLIC RELATIONS,,Academy of Public Relations,9,0,0,97%
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,,Antonia Pantoja Preparatory Academy: A College Board School,9,0,0,89%
09X313,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,Intermediate School 313,The School of Leadership Development,9,0,0,98%
16K057,J.H.S. 057 WHITELAW REID,Junior High School 57,The Whitelaw Reid School,9,0,0,94%
17K352,EBBETS FIELD MIDDLE SCHOOL,,Ebbets Field Middle School,9,0,0,87%
23K137,P.S./I.S. 137 RACHEL JEAN MITCHELL,Public School/Intermediate School 137,The Rachel Jean Mitchell School,9,0,0,94%
23K284,"THE GREGORY JOCKO JACKSON SCHOOL OF SPORTS, ART, AND TECHNOLOGY",,"The Gregory Jocko Jackson School of Sports, Art, and Technology",9,0,0,99%
23K327,P.S. 327 DR. ROSE B. ENGLISH,Public School 327,The Dr. Rose B. English School,9,0,0,95%
23K522,MOTT HALL IV,,Mott Hall IV,9,0,0,98%
25Q200,P.S./M.S. 200 - THE POMONOK SCHOOL & STAR ACADEMY,Public School/Middle School 200,The Pomonok School and Star Academy,9,0,0,69%
27Q333,GOLDIE MAPLE ACADEMY,,Goldie Maple Academy,9,0,0,91%
29Q147,P.S./M.S. 147 RONALD MCNAIR,Public School/Middle School 147,The Ronald McNair School,9,0,0,96%
29Q356,COMMUNITY VOICES MIDDLE SCHOOL,,Community Voices Middle School,9,0,0,96%
03M859,SPECIAL MUSIC SCHOOL,,Special Music School,10,0,0,27%
05M148,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,,Eagle Academy for Young Men of Harlem,10,0,0,93%
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,,Thurgood Marshall Academy for Learning and Social Change,10,0,0,95%
07X029,P.S./M.S. 029 MELROSE SCHOOL,Public School/Middle School 29,The Melrose School,10,0,0,96%
07X584,I.S. 584,,Intermediate School 584,10,0,0,99%
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,,Bronx High School for Medical Science,10,0,0,90%
10X459,EAST FORDHAM ACADEMY FOR THE ARTS,,East Fordham Academy for the Arts,10,0,0,94%
12X384,ENTRADA ACADEMY,,Entrada Academy,10,0,0,94%
19K409,EAST NEW YORK FAMILY ACADEMY,,East New York Family Academy,10,0,0,94%
19K760,HIGHLAND PARK COMMUNITY SCHOOL,,Highland Park Community School,10,0,0,93%
23K323,P.S./I.S. 323,,Public School/Intermediate School 323,10,0,0,98%
23K671,MOTT HALL BRIDGES ACADEMY,,Mott Hall Bridges Academy,10,0,0,98%
29Q116,P.S./I.S. 116 WILLIAM C. HUGHLEY,Public School/Intermediate School 116,The William C. Hughley School,10,0,0,89%
29Q138,P.S./M.S. 138 SUNRISE,Public School/Middle School 138,The Sunrise School,10,0,0,92%
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,,Preparatory Academy for Writers: A College Board School,10,0,0,94%
32K562,EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION,,Evergreen Middle School for Urban Exploration,10,0,0,97%
84M335,HARLEM VILLAGE ACADEMY LEADERSHIP CHARTER SCHOOL,,Harlem Village Academy Leadership Charter School,10,0,0,97%
01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",,"Technology, Arts, and Sciences Studio",11,0,0,87%
03M256,LAFAYETTE ACADEMY,,Lafayette Academy,11,0,0,85%
03M258,COMMUNITY ACTION SCHOOL - MS 258,Middle School 258,The Community Action School,11,0,0,89%
04M072,THE LEXINGTON ACADEMY,,The Lexington Academy,11,0,0,94%
05M514,NEW DESIGN MIDDLE SCHOOL,,New Design Middle School,11,0,0,97%
08X123,J.H.S. 123 JAMES M. KIERAN,Junior High School 123,The James M. Kieran School,11,0,0,96%
12X273,FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,,Frederick Douglass Academy V. Middle School,11,0,0,96%
18K588,MIDDLE SCHOOL FOR ART AND PHILOSOPHY,,Middle School for Art and Philosophy,11,0,0,95%
19K171,I.S. 171 ABRAHAM LINCOLN,Intermediate School 171,The Abraham Lincoln School,11,0,0,89%
27Q146,P.S. 146 HOWARD BEACH,Public School 146,The Howard Beach School,11,0,0,41%
32K347,I.S. 347 SCHOOL OF HUMANITIES,Intermediate School 347,The School of Humanities,11,0,0,97%
84X492,SOUTH BRONX EARLY COLLEGE ACADEMY CHARTER SCHOOL,,South Bronx Early College Academy Charter School,11,0,0,99%
03M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,Middle School M247,The Dual Language Middle School,12,0,0,98%
06M311,AMISTAD DUAL LANGUAGE SCHOOL,,Amistad Dual Language School,12,0,0,93%
10X315,P.S. 315 LAB SCHOOL,Public School 315,The Lab School,12,0,0,98%
17K394,M.S. K394,,Middle School K394,12,0,0,91%
19K662,LIBERTY AVENUE MIDDLE SCHOOL,,Liberty Avenue Middle School,12,0,0,91%
19K663,SCHOOL OF THE FUTURE BROOKLYN,,School of the Future Brooklyn,12,0,0,96%
21K095,P.S. 095 THE GRAVESEND,Public School 95,The Gravesend School,12,0,0,43%
22K109,P.S. 109,,Public School 109,12,0,0,95%
23K644,EAGLE ACADEMY FOR YOUNG MEN II,,Eagle Academy for Young Men II,12,0,0,97%
23K664,BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES),,Brooklyn Environmental Exploration School,12,0,0,93%
24Q087,P.S./I.S. 087 MIDDLE VILLAGE,Public School/Intermediate School 87,The Middle Village School,12,0,0,54%
28Q008,J.H.S. 008 RICHARD S. GROSSLEY,Junior High School 8,The Richard S. Grossley School,12,0,0,67%
84M279,THE OPPORTUNITY CHARTER SCHOOL,,The Opportunity Charter School,12,0,0,96%
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,,University Neighborhood Middle School,13,0,0,86%
05M499,FREDERICK DOUGLASS ACADEMY,,Frederick Douglass Academy,13,0,0,94%
06M052,J.H.S. 052 INWOOD,Junior High School 52,The Inwood School,13,0,0,98%
06M293,CITY COLLEGE ACADEMY OF THE ARTS,,City College Academy of the Arts,13,0,0,95%
08X302,M.S. 302 LUISA DESSUS CRUZ,Middle School 302,The Luisa Dessus Cruz School,13,0,0,98%
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",,Urban Assembly School for Applied Math and Science,13,0,0,98%
09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,,Bronx Early College Academy for Teaching and Learning,13,0,0,95%
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",,"Bronx School for Law, Government and Justice",13,0,0,96%
10X003,P.S. 3 RAUL JULIA MICRO SOCIETY,Public School 3,The Raul Julia Micro Society School,13,0,0,99%
10X254,I.S. 254,,Intermediate School 254,13,0,0,96%
17K722,NEW HEIGHTS MIDDLE SCHOOL,,New Heights Middle School,13,0,0,94%
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,,Academy of Medical Technology: A College Board School,13,0,0,87%
84M708,HARLEM PREP CHARTER SCHOOL,,Harlem Prep Charter School,13,0,0,97%
84M861,FUTURE LEADERS INSTITUTE CHARTER SCHOOL,,Future Leaders Institute Charter School,13,0,0,97%
84Q705,RENAISSANCE CHARTER SCHOOL,,Renaissance Charter School,13,0,0,68%
04M224,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS,Middle School 224,The Manhattan East School for Arts and Academics,14,0,0,80%
11X175,P.S. 175 CITY ISLAND,Public School 175,The City Island School,14,0,0,45%
12X271,EAST BRONX ACADEMY FOR THE FUTURE,,East Bronx Academy for the Future,14,0,0,96%
20K192,P.S. 192 - THE MAGNET SCHOOL FOR MATH AND SCIENCE INQUIRY,Public School 192,The Magnet School for Math and Science Inquiry,14,0,0,49%
21K238,P.S. 238 ANNE SULLIVAN,Public School 238,The Anne Sullivan School,14,0,0,54%
27Q207,P.S. 207 ROCKWOOD PARK,Public School 207,The Rockwood Park School,14,0,0,20%
30Q078,P.S./I.S. 78Q,,Public School/Intermediate School 78Q,14,0,0,32%
02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",,"Ballet Tech, NYC Public School for Dance",15,0,0,40%
03M333,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,Public School 333,The Manhattan School for Children,15,0,0,29%
05M286,URBAN ASSEMBLY ACADEMY FOR FUTURE LEADERS,,Urban Assembly Academy for Future Leaders,15,0,0,91%
06M366,WASHINGTON HEIGHTS ACADEMY,,Washington Heights Academy,15,0,0,96%
09X327,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,Middle School 327,The Comprehensive Model School,15,0,0,98%
11X532,BAYCHESTER MIDDLE SCHOOL,,Baychester Middle School,15,0,0,95%
14K157,P.S./I.S. 157 THE BENJAMIN FRANKLIN HEALTH & SCIENCE ACADEMY,,"Public School/Intermediate School, the Benjamin Franklin Health and Science Academy School",15,0,0,97%
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,,Academy for College Preparation and Career Exploration: A College Board School,15,0,0,90%
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,,Medgar Evers College Preparatory School,15,0,0,93%
19K654,VAN SICLEN COMMUNITY MIDDLE SCHOOL,,Van Siclen Community Middle School,15,0,0,93%
21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,,Kingsborough Early College School,15,0,0,53%
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,,Channel View School for Research,15,0,0,77%
84K757,UNITY PREP CHARTER SCHOOL,,Unity Prep Charter School,15,0,0,95%
84M336,KIPP INFINITY CHARTER SCHOOL,,Kipp Infinity Charter School,15,0,0,98%
84X461,METROPOLITAN LIGHTHOUSE CHARTER SCHOOL,,Metropolitan Lighthouse Charter School,15,0,0,97%
01M450,EAST SIDE COMMUNITY SCHOOL,,East Side Community School,16,0,0,70%
05M161,P.S. 161 PEDRO ALBIZU CAMPOS,Public School 161,The Pedro Albizu Campos School,16,0,0,95%
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,,Community Health Academy of the Heights,16,0,0,97%
09X303,I.S. X303 LEADERSHIP & COMMUNITY SERVICE,Intermediate School X303,The Leadership and Community Service School,16,0,0,97%
09X325,URBAN SCIENCE ACADEMY,,Urban Science Academy,16,0,0,98%
18K068,I.S. 068 ISAAC BILDERSEE,Intermediate School 68,The Isaac Bildersee School,16,0,0,90%
19K678,EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,,East New York Middle School of Excellence,16,0,0,95%
24Q311,CORONA ARTS AND SCIENCES ACADEMY,,Corona Arts and Sciences Academy,16,0,0,97%
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,,World Journalism Preparatory: A College Board School,16,0,0,39%
27Q053,M.S. 053 BRIAN PICCOLO,Middle School 53,The Brian Piccolo School,16,0,0,95%
84K536,COMMUNITY ROOTS CHARTER SCHOOL,,Community Roots Charter School,16,0,0,45%
84M330,GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK,,Girls Preparatory Charter School of New York,16,0,0,93%
84M382,DREAM CHARTER SCHOOL,,Dream Charter School,16,0,0,96%
84R067,JOHN W. LAVELLE PREPARATORY CHARTER SCHOOL,,John W. Lavelle Preparatory Charter School,16,0,0,85%
84X177,MOTT HALL CHARTER SCHOOL,,Mott Hall Charter School,16,0,0,96%
02M933,CITY KNOLL MIDDLE SCHOOL,,City Knoll Middle School,17,0,0,76%
04M206,P.S. 206 JOSE CELSO BARBOSA,Public School 206,The Jose Celso Barbosa School,17,0,0,92%
06M143,J.H.S. 143 ELEANOR ROOSEVELT,Junior High School 143,The Eleanor Roosevelt School,17,0,0,94%
08X375,THE BRONX MATHEMATICS PREPARATORY SCHOOL,,The Bronx Mathematics Preparatory School,17,0,0,94%
10X391,THE ANGELO PATRI MIDDLE SCHOOL,,The Angelo Patri Middle School,17,0,0,96%
12X242,MOTT HALL V,,Mott Hall V,17,0,0,94%
13K691,FORT GREENE PREPARATORY ACADEMY,,Fort Greene Preparatory Academy,17,0,0,91%
18K598,MIDDLE SCHOOL OF MARKETING AND LEGAL STUDIES,,Middle School of Marketing and Legal Studies,17,0,0,90%
19K089,P.S. 089 CYPRESS HILLS,Public School 89,The Cypress Hills School,17,0,0,98%
21K099,P.S. 099 ISAAC ASIMOV,Public School 99,The Isaac Asimov School,17,0,0,25%
29Q355,COLLABORATIVE ARTS MIDDLE SCHOOL,,Collaborative Arts Middle School,17,0,0,96%
84K702,COMMUNITY PARTNERSHIP CHARTER SCHOOL,,Community Partnership Charter School,17,0,0,95%
84X422,ICAHN CHARTER SCHOOL 3,,Icahn Charter School 3,17,0,0,93%
06M209,HAMILTON GRANGE MIDDLE SCHOOL,,Hamilton Grange Middle School,18,0,0,96%
07X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X223,,The Laboratory School of Finance and Technology: X223,18,0,0,98%
09X361,THE HIGHBRIDGE GREEN SCHOOL,,The Highbridge Green School,18,0,0,97%
10X243,WEST BRONX ACADEMY FOR THE FUTURE,,West Bronx Academy for the Future,18,0,0,96%
12X318,"I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",Intermediate School X318,"The Math, Science and Technology Through Arts School",18,0,0,97%
14K084,P.S. 084 JOSE DE DIEGO,Public School 84,The José De Diego School,18,0,0,66%
15K136,I.S. 136 CHARLES O. DEWEY,Intermediate School 136,The Charles O. Dewey School,18,0,0,84%
17K354,THE SCHOOL OF INTEGRATED LEARNING,,The School of Integrated Learning,18,0,0,96%
18K581,EAST FLATBUSH COMMUNITY RESEARCH SCHOOL,,East Flatbush Community Research School,18,0,0,95%
29Q192,I.S. 192 THE LINDEN,Intermediate School 192,The Linden School,18,0,0,88%
31R028,THE EAGLE ACADEMY FOR YOUNG MEN OF STATEN ISLAND,,The Eagle Academy for Young Men of Staten Island,18,0,0,83%
84M341,HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER SCHOOL,,Harlem Children's Zone Promise Academy II Charter School,18,0,0,97%
84M726,KIPP STAR COLLEGE PREP CHARTER SCHOOL,,Kipp Star College Prep Charter School,18,0,0,96%
01M378,SCHOOL FOR GLOBAL LEADERS,,School for Global Leaders,19,0,0,84%
08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,,Soundview Academy for Culture and Scholarship,19,0,0,96%
10X308,BRONX DANCE ACADEMY SCHOOL,,Bronx Dance Academy School,19,0,0,98%
12X190,E.S.M.T- I.S. 190,Intermediate School 190,The E.S.M.T. School,19,0,0,95%
16K267,"M.S. 267 MATH, SCIENCE & TECHNOLOGY",Middle School 267,"The Math, Science and Technology School",19,0,0,92%
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,,Brooklyn Studio Secondary School,19,0,0,33%
84M068,KIPP WASHINGTON HEIGHTS MIDDLE SCHOOL,,Kipp Washington Heights Middle School,19,0,0,99%
84X165,GRAND CONCOURSE CHARTER SCHOOL,,Grand Concourse Charter School,19,0,0,93%
84X345,HYDE LEADERSHIP CHARTER SCHOOL,,Hyde Leadership Charter School,19,0,0,99%
84X398,BRONX COMMUNITY CHARTER SCHOOL,,Bronx Community Charter School,19,0,0,91%
04M057,JAMES WELDON JOHNSON,,James Weldon Johnson,20,0,0,93%
04M825,ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,,Isaac Newton Middle School for Math and Science,20,0,0,92%
06M324,M.S. 324 - PATRIA MIRABAL,Middle School 324,The Patria Mirabal School,20,0,0,96%
12X383,EMOLIOR ACADEMY,,Emolior Academy,20,0,0,88%
13K113,M.S. 113 RONALD EDMONDS LEARNING CENTER,Middle School 113,The Ronald Edmonds Learning Center,20,0,0,91%
16K681,MADIBA PREP MIDDLE SCHOOL,,Madiba Prep Middle School,20,0,0,95%
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",,"Science, Technology and Research Early College High School at Erasmus",20,0,0,92%
23K518,KAPPA V (KNOWLEDGE AND POWER PREPARATORY ACADEMY),,Kappa V (Knowledge and Power Preparatory Academy),20,0,0,97%
32K377,P.S. 377 ALEJANDRINA B. DE GAUTIER,Public School 377,The Alejandrina B. De Gautier School,20,0,0,98%
84M386,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 4,,Success Academy Charter School - Harlem 4,20,0,0,93%
84M478,INWOOD ACADEMY FOR LEADERSHIP CHARTER SCHOOL,,Inwood Academy for Leadership Charter School,20,0,0,98%
84Q304,VOICE CHARTER SCHOOL OF NEW YORK,,Voice Charter School of New York,20,0,0,72%
84X538,ICAHN CHARTER SCHOOL 5,,Icahn Charter School 5,20,0,0,89%
03M421,WEST PREP ACADEMY,,West Prep Academy,21,0,0,97%
05M129,P.S. 129 JOHN H. FINLEY,Public School 129,The John H. Finley School,21,0,0,93%
08X467,MOTT HALL COMMUNITY SCHOOL,,Mott Hall Community School,21,0,0,86%
09X328,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,,New Millennium Business Academy Middle School,21,0,0,99%
13K351,THE URBAN ASSEMBLY UNISON SCHOOL,,The Urban Assembly Unison School,21,0,0,91%
15K464,PARK SLOPE COLLEGIATE,,Park Slope Collegiate,21,0,0,74%
19K364,I.S. 364 GATEWAY,Intermediate School 364,The Gateway School,21,0,0,95%
28Q167,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,,Metropolitan Expeditionary Learning School,21,0,0,57%
28Q284,YORK EARLY COLLEGE ACADEMY,,York Early College Academy,21,0,0,59%
28Q287,THE EMERSON SCHOOL,,The Emerson School,21,0,0,71%
29Q289,QUEENS UNITED MIDDLE SCHOOL,,Queens United Middle School,21,0,0,94%
84K724,LEADERSHIP PREP CANARSIE CHARTER SCHOOL (LEADERSHIP PREP CS 4),,Leadership Prep Canarsie Charter School (Leadership Prep CS 4),21,0,0,96%
84M481,DEMOCRACY PREP HARLEM CHARTER SCHOOL,,Democracy Prep Harlem Charter School,21,0,0,97%
03M180,P.S. 180 HUGO NEWMAN,Public School 180,The Hugo Newman School,22,0,0,81%
06M322,MIDDLE SCHOOL 322,,Middle School 322,22,0,0,98%
08X131,J.H.S. 131 ALBERT EINSTEIN,Junior High School 131,The Albert Einstein School,22,0,0,93%
13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,,The Urban Assembly Institute of Math and Science for Young Women,22,0,0,78%
31R080,THE MICHAEL J. PETRIDES SCHOOL,,The Michael J. Petrides School,22,0,0,45%
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,,All City Leadership Secondary School,22,0,0,85%
84K355,WILLIAMSBURG COLLEGIATE CHARTER SCHOOL,,Williamsburg Collegiate Charter School,22,0,0,98%
84K744,CONEY ISLAND PREPARATORY PUBLIC CHARTER SCHOOL,,Coney Island Preparatory Public Charter School,22,0,0,73%
84M388,ST. HOPE LEADERSHIP ACADEMY CHARTER SCHOOL,,St. Hope Leadership Academy Charter School,22,0,0,96%
84X389,BRONX GLOBAL LEARNING INSTITUTE FOR GIRLS CHARTER SCHOOL,,Bronx Global Learning Institute for Girls Charter School,22,0,0,96%
84X703,BRONX PREPARATORY CHARTER SCHOOL,,Bronx Preparatory Charter School,22,0,0,98%
11X287,NORTH BRONX SCHOOL OF EMPOWERMENT,,North Bronx School of Empowerment,23,0,0,92%
17K138,P.S. 138 BROOKLYN,Public School 138,The Brooklyn School,23,0,0,93%
19K218,J.H.S. 218 JAMES P. SINNOTT,Junior High School 218,The James P. Sinnott School,23,0,0,78%
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",,Queens School of Inquiry,23,0,0,40%
26Q178,P.S./I.S. 178 HOLLISWOOD,Public School/Intermediate School 178,The Holliswood School,23,0,0,17%
84K379,EXPLORE EXCEL CHARTER SCHOOL,,Explore Excel Charter School,23,0,0,96%
84K731,BROOKLYN EXCELSIOR CHARTER SCHOOL,,Brooklyn Excelsior Charter School,23,0,0,97%
84M284,HARLEM CHILDREN'S ZONE PROMISE ACADEMY 1 CHARTER SCHOOL,,Harlem Children's Zone Promise Academy 1 Charter School,23,0,0,97%
84X346,SOUTH BRONX CLASSICAL CHARTER SCHOOL,,South Bronx Classical Charter School,23,0,0,95%
84X704,KIPP ACADEMY CHARTER SCHOOL,,Kipp Academy Charter School,23,0,0,98%
09X022,J.H.S. 022 JORDAN L. MOTT,Junior High School 22,The Jordan L. Mott School,24,0,0,96%
10X390,M.S. 390,,Middle School 390,24,0,0,99%
11X019,P.S. 019 JUDITH K. WEISS,Public School 19,The Judith K. Weiss School,24,0,0,35%
11X355,BRONX ALLIANCE MIDDLE SCHOOL,,Bronx Alliance Middle School,24,0,0,94%
11X462,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA),,Cornerstone Academy for Social Action Middle School,24,0,0,97%
17K246,M.S. 246 WALT WHITMAN,Middle School 246,The Walt Whitman School,24,0,0,93%
19K661,VISTA ACADEMY,,Vista Academy,24,0,0,89%
20K609,URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,,Urban Assembly School for Criminal Justice,24,0,0,35%
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,,Queens Collegiate: A College Board School,24,0,0,63%
