,rank,1s,dbn,school_name,economic_need_index,grade_7_enrollment,num_shsat_test_takers,pct_test_takers,percent_black__hispanic,minority_delta,score
58,434,10.0,20K229,P.S. 229 DYKER,0.385,115.0,93.0,72.0,13.0,-4,-4.0
38,435,10.0,04M012,TAG YOUNG SCHOLARS,0.435,86.0,54.0,96.0,44.0,-4,-4.0
29,436,9.0,20K686,BROOKLYN SCHOOL OF INQUIRY,0.209,58.0,80.0,94.0,10.0,-5,-4.5
4,437,7.0,02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,0.308,177.0,163.0,90.0,10.0,-7,-4.8999999999999995
34,438,10.0,26Q172,IRWIN ALTMAN MIDDLE SCHOOL 172,0.271,331.0,189.0,55.0,23.0,-5,-5.0
57,439,10.0,25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,0.5379999999999999,100.0,70.0,35.0,28.0,-5,-5.0
28,440,8.0,30Q122,P.S. 122 MAMIE FAY,0.42100000000000004,94.0,74.0,98.0,27.0,-7,-5.6000000000000005
18,441,10.0,02M255,M.S. 255 SALK SCHOOL OF SCIENCE,0.131,128.0,108.0,84.0,13.0,-6,-6.0
21,442,10.0,03M334,THE ANDERSON SCHOOL,0.134,64.0,75.0,98.0,13.0,-6,-6.0
15,443,10.0,02M167,J.H.S. 167 ROBERT F. WAGNER,0.36,457.0,258.0,60.0,27.0,-7,-7.0
7,444,10.0,26Q074,J.H.S. 074 NATHANIEL HAWTHORNE,0.258,369.0,233.0,55.0,15.0,-7,-7.0
0,445,10.0,20K187,THE CHRISTA MCAULIFFE SCHOOL\I.S. 187,0.48,266.0,251.0,91.0,7.0,-8,-8.0
32,446,10.0,20K180,THE SEEALL ACADEMY,0.706,159.0,113.0,64.0,29.0,-9,-9.0
10,447,10.0,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",0.257,149.0,126.0,44.0,20.0,-10,-10.0
13,448,10.0,26Q067,J.H.S. 067 LOUIS PASTEUR,0.209,279.0,211.0,68.0,14.0,-10,-10.0
